oblast_intervence_nazev_en,oblast_intervence_kod,climate_share,op_zkr,op_id,fin_pravniakt_czv,fin_pravniakt_eu,fin_pravniakt_narodni_verejne,fin_pravniakt_soukr,fin_vyuct_czv,fin_vyuct_eu,fin_vyuct_narodni_verejne,fin_vyuct_verejne,fin_vyuct_soukr,fin_vyuct_narodni,n_prj,prv_opatreni_orig,prv_opatreni_id,prv_opatreni_typ,prv_opatreni_nazev
"Protection, development and promotion of public cultural and heritage assets",IV.4.094,0,OP ŽP,05,46016416.22,4601641.62,41414774.6,0,32594111.23,3259411.23,29334700,32594111.23,0,29334700,1,NA,NA,NA,NA
Institutional capacity of public administrations and public services related to implementation of the ERDF or actions supporting ESF institutional capacity initiatives,IV.5.096,0,IROP,06,230538791.4,195957972.67000002,34580818.73,0,219403581.95999998,186493044.52999997,32910537.429999977,219403581.95999998,-9.313225746154785e-10,32910537.429999977,187,NA,NA,NA,NA
Community-led local development initiatives in urban and rural areas,IV.5.097,0,IROP,06,6829564105.620008,6488085895.590005,190123989.0600003,151354220.9699999,4834336999.5899935,4592620140.40999,144675998.42999998,4737296138.839992,97040860.74999993,241716859.1800005,2332,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,IROP,06,2714370918.5600004,2307215280.69,407155637.87,0,2201264855.04,1871075120.7699997,330189734.27000004,2201264855.0399995,2.473825588822365e-7,330189734.2700001,45,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP D,04,1433741977.476442,1218680680.8509963,215061296.6254459,0,679576162.2094755,577639737.2302839,101936424.97919168,679576162.2094755,-5.960464477539063e-8,101936424.97919165,3,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP PIK,01,3450692080.8399997,2933088268.6899996,517603812.15,0,2124184384.2800002,1805556725.6100001,318627658.6699999,2124184384.28,6.065238267183304e-8,318627658.66999996,40,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP PPR,07,202477069.4,101238534.7,101238534.7,0,121980540.87975587,60990270.424877934,60990270.454877935,121980540.87975587,0,60990270.454877935,1,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP TP,08,6792987521.290001,5774039392.573729,1018948128.716275,0,5220015487.109655,4437013159.42386,783002327.685798,5220015487.109654,2.4982728064060214e-8,783002327.685798,230,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP VVV,02,2784941225.807067,2259979804.597754,524961421.20931274,0,2395805201.55183,1944195919.7357183,451609281.8161114,2395805201.55183,7.688067853129115e-9,451609281.81611156,31,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP Z,03,2503186510.0024295,2060685714.69,442500795.3124294,0,1826628224.7042296,1503726020.069189,322902204.6350406,1826628224.7042296,0,322902204.63504064,3,NA,NA,NA,NA
"Preparation, implementation, monitoring and inspection",IX.0.121,0,OP ŽP,05,2847706131.13,2420550211.45,427155919.67999995,0,1946670614.4200003,1654670021.4499996,292000592.97,1946670614.4200003,-1.5308614820241928e-8,292000592.97,50,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,IROP,06,30250000,25712500,4537500,0,6651007,5653355.95,997651.05,6651007,0,997651.0499999998,1,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP D,04,15763279.791327186,13398787.822628107,2364491.968699078,0,3355449.301900663,2852131.855580163,503317.4463204994,3355449.301900663,0,503317.4463204997,1,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP PIK,01,46000000,39100000,6900000,0,22004709.3,18704002.89,3300706.4099999997,22004709.3,0,3300706.4100000006,2,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP PPR,07,202477069.60000002,101238534.80000001,101238534.80000001,0,121980541.00024413,60990270.48512206,60990270.51512206,121980541.00024413,0,60990270.51512206,1,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP TP,08,150562232.87000132,127977897.89627613,22584334.9737252,0,118049120.07034366,100341751.35114211,17707368.71920155,118049120.07034366,2.0256265997886656e-9,17707368.71920155,30,NA,NA,NA,NA
